Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
56,Belgium,5312,Area harvested,1354,Strawberries,2021,2021,ha,1630,A,Official figure,
56,Belgium,5412,Yield,1354,Strawberries,2021,2021,kg/ha,31036.8,A,Official figure,
56,Belgium,5510,Production,1354,Strawberries,2021,2021,t,50590,A,Official figure,
56,Belgium,5312,Area harvested,1354,Strawberries,2022,2022,ha,1570,A,Official figure,
56,Belgium,5412,Yield,1354,Strawberries,2022,2022,kg/ha,30980.9,A,Official figure,
56,Belgium,5510,Production,1354,Strawberries,2022,2022,t,48640,A,Official figure,
56,Belgium,5312,Area harvested,1354,Strawberries,2023,2023,ha,1400,A,Official figure,
56,Belgium,5412,Yield,1354,Strawberries,2023,2023,kg/ha,36750,A,Official figure,
56,Belgium,5510,Production,1354,Strawberries,2023,2023,t,51450,A,Official figure,
56,Belgium,5312,Area harvested,1354,Strawberries,2024,2024,ha,1380,A,Official figure,
56,Belgium,5412,Yield,1354,Strawberries,2024,2024,kg/ha,37282.6,A,Official figure,
56,Belgium,5510,Production,1354,Strawberries,2024,2024,t,51450,A,Official figure,
68,Bolivia (Plurinational State of),5312,Area harvested,1354,Strawberries,2020,2020,ha,531,A,Official figure,
68,Bolivia (Plurinational State of),5412,Yield,1354,Strawberries,2020,2020,kg/ha,6192.1,A,Official figure,
68,Bolivia (Plurinational State of),5510,Production,1354,Strawberries,2020,2020,t,3288,A,Official figure,
68,Bolivia (Plurinational State of),5312,Area harvested,1354,Strawberries,2021,2021,ha,527,A,Official figure,
68,Bolivia (Plurinational State of),5412,Yield,1354,Strawberries,2021,2021,kg/ha,6189.9,A,Official figure,
68,Bolivia (Plurinational State of),5510,Production,1354,Strawberries,2021,2021,t,3260.29,A,Official figure,
68,Bolivia (Plurinational State of),5312,Area harvested,1354,Strawberries,2022,2022,ha,532,A,Official figure,
68,Bolivia (Plurinational State of),5412,Yield,1354,Strawberries,2022,2022,kg/ha,6214.9,A,Official figure,
68,Bolivia (Plurinational State of),5510,Production,1354,Strawberries,2022,2022,t,3307.43,A,Official figure,
68,Bolivia (Plurinational State of),5312,Area harvested,1354,Strawberries,2023,2023,ha,530,A,Official figure,
68,Bolivia (Plurinational State of),5412,Yield,1354,Strawberries,2023,2023,kg/ha,6201.1,A,Official figure,
68,Bolivia (Plurinational State of),5510,Production,1354,Strawberries,2023,2023,t,3285.17,A,Official figure,
68,Bolivia (Plurinational State of),5312,Area harvested,1354,Strawberries,2024,2024,ha,531,A,Official figure,
68,Bolivia (Plurinational State of),5412,Yield,1354,Strawberries,2024,2024,kg/ha,6210.6,A,Official figure,
68,Bolivia (Plurinational State of),5510,Production,1354,Strawberries,2024,2024,t,3299.79,A,Official figure,
70,Bosnia and Herzegovina,5312,Area harvested,1354,Strawberries,2020,2020,ha,1337,A,Official figure,
70,Bosnia and Herzegovina,5412,Yield,1354,Strawberries,2020,2020,kg/ha,8495.9,A,Official figure,
70,Bosnia and Herzegovina,5510,Production,1354,Strawberries,2020,2020,t,11359,A,Official figure,
70,Bosnia and Herzegovina,5312,Area harvested,1354,Strawberries,2021,2021,ha,1360,A,Official figure,
70,Bosnia and Herzegovina,5412,Yield,1354,Strawberries,2021,2021,kg/ha,8615.4,A,Official figure,
70,Bosnia and Herzegovina,5510,Production,1354,Strawberries,2021,2021,t,11717,A,Official figure,
70,Bosnia and Herzegovina,5312,Area harvested,1354,Strawberries,2022,2022,ha,495,A,Official figure,
70,Bosnia and Herzegovina,5412,Yield,1354,Strawberries,2022,2022,kg/ha,8301,A,Official figure,
70,Bosnia and Herzegovina,5510,Production,1354,Strawberries,2022,2022,t,4109,A,Official figure,
70,Bosnia and Herzegovina,5312,Area harvested,1354,Strawberries,2023,2023,ha,455,A,Official figure,
70,Bosnia and Herzegovina,5412,Yield,1354,Strawberries,2023,2023,kg/ha,8101.1,A,Official figure,
70,Bosnia and Herzegovina,5510,Production,1354,Strawberries,2023,2023,t,3686,A,Official figure,
70,Bosnia and Herzegovina,5312,Area harvested,1354,Strawberries,2024,2024,ha,604,A,Official figure,
70,Bosnia and Herzegovina,5412,Yield,1354,Strawberries,2024,2024,kg/ha,10000,A,Official figure,
70,Bosnia and Herzegovina,5510,Production,1354,Strawberries,2024,2024,t,6040,A,Official figure,
76,Brazil,5312,Area harvested,1354,Strawberries,2020,2020,ha,5279,X,Figure from external organization,Unofficial figure
76,Brazil,5412,Yield,1354,Strawberries,2020,2020,kg/ha,41462.6,X,Figure from external organization,
76,Brazil,5510,Production,1354,Strawberries,2020,2020,t,218881,X,Figure from external organization,Unofficial figure
76,Brazil,5312,Area harvested,1354,Strawberries,2021,2021,ha,5108,I,Value imputed by a receiving agency,
76,Brazil,5412,Yield,1354,Strawberries,2021,2021,kg/ha,38752.7,E,Estimated value,
76,Brazil,5510,Production,1354,Strawberries,2021,2021,t,197931.75,I,Value imputed by a receiving agency,
76,Brazil,5312,Area harvested,1354,Strawberries,2022,2022,ha,4691,I,Value imputed by a receiving agency,
76,Brazil,5412,Yield,1354,Strawberries,2022,2022,kg/ha,38485.8,E,Estimated value,
76,Brazil,5510,Production,1354,Strawberries,2022,2022,t,180523.65,I,Value imputed by a receiving agency,
76,Brazil,5312,Area harvested,1354,Strawberries,2023,2023,ha,4857,I,Value imputed by a receiving agency,
76,Brazil,5412,Yield,1354,Strawberries,2023,2023,kg/ha,38954,E,Estimated value,
76,Brazil,5510,Production,1354,Strawberries,2023,2023,t,189203.23,I,Value imputed by a receiving agency,
76,Brazil,5312,Area harvested,1354,Strawberries,2024,2024,ha,4970,I,Value imputed by a receiving agency,
76,Brazil,5412,Yield,1354,Strawberries,2024,2024,kg/ha,38997.1,E,Estimated value,
76,Brazil,5510,Production,1354,Strawberries,2024,2024,t,193804.5,I,Value imputed by a receiving agency,
100,Bulgaria,5312,Area harvested,1354,Strawberries,2020,2020,ha,740,A,Official figure,
100,Bulgaria,5412,Yield,1354,Strawberries,2020,2020,kg/ha,5770.3,A,Official figure,
100,Bulgaria,5510,Production,1354,Strawberries,2020,2020,t,4270,A,Official figure,
100,Bulgaria,5312,Area harvested,1354,Strawberries,2021,2021,ha,850,A,Official figure,
100,Bulgaria,5412,Yield,1354,Strawberries,2021,2021,kg/ha,7388.2,A,Official figure,
100,Bulgaria,5510,Production,1354,Strawberries,2021,2021,t,6280,A,Official figure,
100,Bulgaria,5312,Area harvested,1354,Strawberries,2022,2022,ha,770,A,Official figure,
100,Bulgaria,5412,Yield,1354,Strawberries,2022,2022,kg/ha,6662.3,A,Official figure,
100,Bulgaria,5510,Production,1354,Strawberries,2022,2022,t,5130,A,Official figure,
100,Bulgaria,5312,Area harvested,1354,Strawberries,2023,2023,ha,760,A,Official figure,
100,Bulgaria,5412,Yield,1354,Strawberries,2023,2023,kg/ha,6855.3,A,Official figure,
100,Bulgaria,5510,Production,1354,Strawberries,2023,2023,t,5210,A,Official figure,
100,Bulgaria,5312,Area harvested,1354,Strawberries,2024,2024,ha,710,A,Official figure,
100,Bulgaria,5412,Yield,1354,Strawberries,2024,2024,kg/ha,6662,A,Official figure,
100,Bulgaria,5510,Production,1354,Strawberries,2024,2024,t,4730,A,Official figure,
124,Canada,5312,Area harvested,1354,Strawberries,2020,2020,ha,2893,A,Official figure,
124,Canada,5412,Yield,1354,Strawberries,2020,2020,kg/ha,8342.2,A,Official figure,
124,Canada,5510,Production,1354,Strawberries,2020,2020,t,24134,A,Official figure,
124,Canada,5312,Area harvested,1354,Strawberries,2021,2021,ha,2924,A,Official figure,
124,Canada,5412,Yield,1354,Strawberries,2021,2021,kg/ha,8418.3,A,Official figure,
124,Canada,5510,Production,1354,Strawberries,2021,2021,t,24615,A,Official figure,
124,Canada,5312,Area harvested,1354,Strawberries,2022,2022,ha,2846,A,Official figure,
124,Canada,5412,Yield,1354,Strawberries,2022,2022,kg/ha,8792,A,Official figure,
124,Canada,5510,Production,1354,Strawberries,2022,2022,t,25022,A,Official figure,
124,Canada,5312,Area harvested,1354,Strawberries,2023,2023,ha,2685,A,Official figure,
124,Canada,5412,Yield,1354,Strawberries,2023,2023,kg/ha,8262.2,A,Official figure,
124,Canada,5510,Production,1354,Strawberries,2023,2023,t,22184,A,Official figure,
124,Canada,5312,Area harvested,1354,Strawberries,2024,2024,ha,2727,A,Official figure,
124,Canada,5412,Yield,1354,Strawberries,2024,2024,kg/ha,9585.3,A,Official figure,
124,Canada,5510,Production,1354,Strawberries,2024,2024,t,26139,A,Official figure,
152,Chile,5312,Area harvested,1354,Strawberries,2020,2020,ha,1011,A,Official figure,
152,Chile,5412,Yield,1354,Strawberries,2020,2020,kg/ha,26666.2,E,Estimated value,
152,Chile,5510,Production,1354,Strawberries,2020,2020,t,26970.18,I,Value imputed by a receiving agency,
152,Chile,5312,Area harvested,1354,Strawberries,2021,2021,ha,908,A,Official figure,
152,Chile,5412,Yield,1354,Strawberries,2021,2021,kg/ha,26636.3,E,Estimated value,
152,Chile,5510,Production,1354,Strawberries,2021,2021,t,24199.03,I,Value imputed by a receiving agency,
152,Chile,5312,Area harvested,1354,Strawberries,2022,2022,ha,1073,A,Official figure,
152,Chile,5412,Yield,1354,Strawberries,2022,2022,kg/ha,26488,E,Estimated value,
152,Chile,5510,Production,1354,Strawberries,2022,2022,t,28421.64,I,Value imputed by a receiving agency,
152,Chile,5312,Area harvested,1354,Strawberries,2023,2023,ha,1174,A,Official figure,
152,Chile,5412,Yield,1354,Strawberries,2023,2023,kg/ha,26508.6,E,Estimated value,
152,Chile,5510,Production,1354,Strawberries,2023,2023,t,31121.13,I,Value imputed by a receiving agency,
152,Chile,5312,Area harvested,1354,Strawberries,2024,2024,ha,1037,A,Official figure,
152,Chile,5412,Yield,1354,Strawberries,2024,2024,kg/ha,26529.2,E,Estimated value,
152,Chile,5510,Production,1354,Strawberries,2024,2024,t,27510.83,I,Value imputed by a receiving agency,
159,China,5312,Area harvested,1354,Strawberries,2020,2020,ha,132127,A,Official figure,
159,China,5412,Yield,1354,Strawberries,2020,2020,kg/ha,26174.6,A,Official figure,
159,China,5510,Production,1354,Strawberries,2020,2020,t,3458374,A,Official figure,
159,China,5312,Area harvested,1354,Strawberries,2021,2021,ha,139819,A,Official figure,
159,China,5412,Yield,1354,Strawberries,2021,2021,kg/ha,26636.2,A,Official figure,
159,China,5510,Production,1354,Strawberries,2021,2021,t,3724242,A,Official figure,
159,China,5312,Area harvested,1354,Strawberries,2022,2022,ha,148015,A,Official figure,
159,China,5412,Yield,1354,Strawberries,2022,2022,kg/ha,26944.4,A,Official figure,
159,China,5510,Production,1354,Strawberries,2022,2022,t,3988172,A,Official figure,
159,China,5312,Area harvested,1354,Strawberries,2023,2023,ha,156678,E,Estimated value,
159,China,5412,Yield,1354,Strawberries,2023,2023,kg/ha,26988.4,E,Estimated value,
159,China,5510,Production,1354,Strawberries,2023,2023,t,4228498.76,E,Estimated value,
159,China,5312,Area harvested,1354,Strawberries,2024,2024,ha,153651,E,Estimated value,
159,China,5412,Yield,1354,Strawberries,2024,2024,kg/ha,26836.2,E,Estimated value,
159,China,5510,Production,1354,Strawberries,2024,2024,t,4123417.08,E,Estimated value,
156,"China, mainland",5312,Area harvested,1354,Strawberries,2020,2020,ha,131600,A,Official figure,
156,"China, mainland",5412,Yield,1354,Strawberries,2020,2020,kg/ha,26204.4,A,Official figure,
156,"China, mainland",5510,Production,1354,Strawberries,2020,2020,t,3448500,A,Official figure,
156,"China, mainland",5312,Area harvested,1354,Strawberries,2021,2021,ha,139310,A,Official figure,
156,"China, mainland",5412,Yield,1354,Strawberries,2021,2021,kg/ha,26667.9,A,Official figure,
156,"China, mainland",5510,Production,1354,Strawberries,2021,2021,t,3715100,A,Official figure,
156,"China, mainland",5312,Area harvested,1354,Strawberries,2022,2022,ha,147450,A,Official figure,
156,"China, mainland",5412,Yield,1354,Strawberries,2022,2022,kg/ha,27003.1,A,Official figure,
156,"China, mainland",5510,Production,1354,Strawberries,2022,2022,t,3981600,A,Official figure,
156,"China, mainland",5312,Area harvested,1354,Strawberries,2023,2023,ha,156092,I,Value imputed by a receiving agency,
156,"China, mainland",5412,Yield,1354,Strawberries,2023,2023,kg/ha,27044.5,E,Estimated value,
156,"China, mainland",5510,Production,1354,Strawberries,2023,2023,t,4221438.76,I,Value imputed by a receiving agency,
156,"China, mainland",5312,Area harvested,1354,Strawberries,2024,2024,ha,153090,I,Value imputed by a receiving agency,
156,"China, mainland",5412,Yield,1354,Strawberries,2024,2024,kg/ha,26884,E,Estimated value,
156,"China, mainland",5510,Production,1354,Strawberries,2024,2024,t,4115659.19,I,Value imputed by a receiving agency,
158,"China, Taiwan Province of",5312,Area harvested,1354,Strawberries,2020,2020,ha,527,A,Official figure,
158,"China, Taiwan Province of",5412,Yield,1354,Strawberries,2020,2020,kg/ha,18736.2,A,Official figure,
158,"China, Taiwan Province of",5510,Production,1354,Strawberries,2020,2020,t,9874,A,Official figure,
158,"China, Taiwan Province of",5312,Area harvested,1354,Strawberries,2021,2021,ha,509,A,Official figure,
158,"China, Taiwan Province of",5412,Yield,1354,Strawberries,2021,2021,kg/ha,17960.7,A,Official figure,
158,"China, Taiwan Province of",5510,Production,1354,Strawberries,2021,2021,t,9142,A,Official figure,
158,"China, Taiwan Province of",5312,Area harvested,1354,Strawberries,2022,2022,ha,565,A,Official figure,
158,"China, Taiwan Province of",5412,Yield,1354,Strawberries,2022,2022,kg/ha,11631.9,A,Official figure,
158,"China, Taiwan Province of",5510,Production,1354,Strawberries,2022,2022,t,6572,A,Official figure,
158,"China, Taiwan Province of",5312,Area harvested,1354,Strawberries,2023,2023,ha,586,A,Official figure,
158,"China, Taiwan Province of",5412,Yield,1354,Strawberries,2023,2023,kg/ha,12047.8,A,Official figure,
158,"China, Taiwan Province of",5510,Production,1354,Strawberries,2023,2023,t,7060,A,Official figure,
158,"China, Taiwan Province of",5312,Area harvested,1354,Strawberries,2024,2024,ha,562,I,Value imputed by a receiving agency,
158,"China, Taiwan Province of",5412,Yield,1354,Strawberries,2024,2024,kg/ha,13807.5,E,Estimated value,
158,"China, Taiwan Province of",5510,Production,1354,Strawberries,2024,2024,t,7757.88,I,Value imputed by a receiving agency,
170,Colombia,5312,Area harvested,1354,Strawberries,2020,2020,ha,2643,A,Official figure,
170,Colombia,5412,Yield,1354,Strawberries,2020,2020,kg/ha,37802.5,A,Official figure,
170,Colombia,5510,Production,1354,Strawberries,2020,2020,t,99900.64,A,Official figure,
170,Colombia,5312,Area harvested,1354,Strawberries,2021,2021,ha,2517,A,Official figure,
170,Colombia,5412,Yield,1354,Strawberries,2021,2021,kg/ha,36270.3,A,Official figure,
170,Colombia,5510,Production,1354,Strawberries,2021,2021,t,91278.5,A,Official figure,
170,Colombia,5312,Area harvested,1354,Strawberries,2022,2022,ha,2912,A,Official figure,
170,Colombia,5412,Yield,1354,Strawberries,2022,2022,kg/ha,39137.7,A,Official figure,
170,Colombia,5510,Production,1354,Strawberries,2022,2022,t,113949.4,A,Official figure,
170,Colombia,5312,Area harvested,1354,Strawberries,2023,2023,ha,3243,A,Official figure,
170,Colombia,5412,Yield,1354,Strawberries,2023,2023,kg/ha,35428.3,A,Official figure,
170,Colombia,5510,Production,1354,Strawberries,2023,2023,t,114895.2,A,Official figure,
170,Colombia,5312,Area harvested,1354,Strawberries,2024,2024,ha,3307,A,Official figure,
170,Colombia,5412,Yield,1354,Strawberries,2024,2024,kg/ha,33389.1,A,Official figure,
170,Colombia,5510,Production,1354,Strawberries,2024,2024,t,110401.87,A,Official figure,
188,Costa Rica,5312,Area harvested,1354,Strawberries,2020,2020,ha,154,I,Value imputed by a receiving agency,
188,Costa Rica,5412,Yield,1354,Strawberries,2020,2020,kg/ha,30414,E,Estimated value,
188,Costa Rica,5510,Production,1354,Strawberries,2020,2020,t,4681.37,I,Value imputed by a receiving agency,
188,Costa Rica,5312,Area harvested,1354,Strawberries,2021,2021,ha,159,I,Value imputed by a receiving agency,
188,Costa Rica,5412,Yield,1354,Strawberries,2021,2021,kg/ha,28258.8,E,Estimated value,
188,Costa Rica,5510,Production,1354,Strawberries,2021,2021,t,4481.87,E,Estimated value,
188,Costa Rica,5312,Area harvested,1354,Strawberries,2022,2022,ha,156,I,Value imputed by a receiving agency,
188,Costa Rica,5412,Yield,1354,Strawberries,2022,2022,kg/ha,30553.2,E,Estimated value,
188,Costa Rica,5510,Production,1354,Strawberries,2022,2022,t,4753.15,I,Value imputed by a receiving agency,
188,Costa Rica,5312,Area harvested,1354,Strawberries,2023,2023,ha,156,I,Value imputed by a receiving agency,
188,Costa Rica,5412,Yield,1354,Strawberries,2023,2023,kg/ha,30597.1,E,Estimated value,
188,Costa Rica,5510,Production,1354,Strawberries,2023,2023,t,4762.03,I,Value imputed by a receiving agency,
188,Costa Rica,5312,Area harvested,1354,Strawberries,2024,2024,ha,156,I,Value imputed by a receiving agency,
188,Costa Rica,5412,Yield,1354,Strawberries,2024,2024,kg/ha,30641,E,Estimated value,
188,Costa Rica,5510,Production,1354,Strawberries,2024,2024,t,4770.91,I,Value imputed by a receiving agency,
191,Croatia,5312,Area harvested,1354,Strawberries,2020,2020,ha,300,A,Official figure,
191,Croatia,5412,Yield,1354,Strawberries,2020,2020,kg/ha,8766.7,A,Official figure,
191,Croatia,5510,Production,1354,Strawberries,2020,2020,t,2630,A,Official figure,
191,Croatia,5312,Area harvested,1354,Strawberries,2021,2021,ha,270,A,Official figure,
191,Croatia,5412,Yield,1354,Strawberries,2021,2021,kg/ha,7259.3,A,Official figure,
191,Croatia,5510,Production,1354,Strawberries,2021,2021,t,1960,A,Official figure,
191,Croatia,5312,Area harvested,1354,Strawberries,2022,2022,ha,360,A,Official figure,
191,Croatia,5412,Yield,1354,Strawberries,2022,2022,kg/ha,8888.9,A,Official figure,
191,Croatia,5510,Production,1354,Strawberries,2022,2022,t,3200,A,Official figure,
191,Croatia,5312,Area harvested,1354,Strawberries,2023,2023,ha,240,A,Official figure,
191,Croatia,5412,Yield,1354,Strawberries,2023,2023,kg/ha,9916.7,A,Official figure,
191,Croatia,5510,Production,1354,Strawberries,2023,2023,t,2380,A,Official figure,
191,Croatia,5312,Area harvested,1354,Strawberries,2024,2024,ha,200,A,Official figure,
191,Croatia,5412,Yield,1354,Strawberries,2024,2024,kg/ha,10200,A,Official figure,
191,Croatia,5510,Production,1354,Strawberries,2024,2024,t,2040,A,Official figure,
196,Cyprus,5312,Area harvested,1354,Strawberries,2020,2020,ha,50,A,Official figure,
196,Cyprus,5412,Yield,1354,Strawberries,2020,2020,kg/ha,31000,A,Official figure,
196,Cyprus,5510,Production,1354,Strawberries,2020,2020,t,1550,A,Official figure,
